ServerId	ServerName	NodeIp	NodePort	LogicServerId	LogicServerName
0	运营服务器	192.168.191.1	9001	1	DF
1	青岛机房外网	119.167.157.239	9001	1	DF
2	云服	203.195.156.227	9001	1	DF
3	调优适配服	10.1.8.122	9001	1	DF
4	功能测试服	10.1.8.123	9001	1	DF
5	本地自启服	127.0.0.1	9001	1	DF
6	192.168.191.6	192.168.191.6	9001	1	DF
7	192.168.191.1	192.168.191.1	9001	1	DF
8	公司内外网	10.1.8.123	9001	1	DF
9	引擎调优服	10.1.8.122	9001	1	DF
10	192.168.0.82	192.168.0.82	9001	1	DF
11	腐乳葱	10.12.25.65	9001	1	DF
12	栗品容	10.12.25.218	9001	1	DF
13	李2江	10.12.24.225	9001	1	DF
14	王钰淞	10.12.25.68	9001	1	DF
15	ZY	10.12.25.70	9001	1	DF
